wts27-R-6	SPCC74.09
wts27-R-7	SPCC74.01
wts27-R-8	SPCC74.02c
wts27-R-9	SPCC74.03c
wts27-R-10	SPCC74.04
wts32-R-1	SPCC74.04
wts32-R-2	SPCC74.05
wts32-R-3	SPCC74.06
wts32-R-4	SPCC18.01c
wts32-R-5	SPCC18.02
wts32-R-6	SPCC18.03
wts32-R-7	SPCC18.04
wts32-R-8	SPCC18.05c
wts32-R-9	SPCC18.06c
wts32-R-10	SPCC18.19c
wts1920-R-1	SPCC1739.01
wts1920-R-2	SPCC1739.02c
wts1920-R-3	SPCC1739.03
wts1920-R-4	SPCC1739.04c
wts1920-R-5	SPCC1739.05
wts1920-R-6	SPCC1739.06c
wts1920-R-7	SPCC1739.07
wts1920-R-8	SPCC1739.08c
wts1920-R-9	SPCC1739.09c
wts1920-R-10	SPCC1739.10
wts28-R-1	SPCC1739.07
wts28-R-2	SPCC1739.08c
wts28-R-3	SPCC1739.09c
wts28-R-4	SPCC1739.10
wts28-R-5	SPCC1739.11c
wts28-R-6	SPCC1739.12
wts28-R-7	SPCC1739.13
wts28-R-8	SPCC1739.14
wts28-R-9	SPCPB1C11.01
wts28-R-10	SPCPB1C11.02
wts21-R-1	SPCPB1C11.01
wts21-R-2	SPCPB1C11.02
wts21-R-3	SPCPB1C11.03
wts21-R-4	SPCC576.01c
wts21-R-5	SPCC576.19c
wts21-R-6	SPCC576.02
wts21-R-7	SPCC576.03c
wts21-R-8	SPCC576.04
wts21-R-9	SPCC576.05
wts21-R-10	SPCC576.06c
wts22-R-1	SPCC576.17c
wts22-R-2	SPCC126.01c
wts22-R-3	SPCC126.02c
wts22-R-4	SPCC126.03
wts22-R-5	SPCC126.04c
wts22-R-6	SPCC126.05c
wts22-R-7	SPCC126.06
wts22-R-8	SPCC126.07c
wts22-R-9	SPCC126.08c
wts22-R-10	SPCC126.09
wts23-R-1	SPCC1620.03
wts23-R-2	SPCC1620.04c
wts23-R-3	SPCC1620.05
wts23-R-4	SPCC1620.06c
wts23-R-5	SPCC1620.07c
wts23-R-6	SPCC1620.08
wts23-R-7	SPCC1620.09c
wts23-R-8	SPCC1620.10
wts23-R-9	SPCC1620.11
wts23-R-10	SPCC1620.12c
wts24-R-1	SPCC830.03
wts24-R-2	SPCC830.04c
wts24-R-3	SPCC830.05c
wts24-R-4	SPCC830.06
wts24-R-5	SPCC830.07c
wts24-R-6	SPCC830.08c
wts24-R-7	SPCC830.09c
wts24-R-8	SPCC830.10
wts24-R-9	SPCC830.11c
wts24-R-10	SPCC1919.01
wts25-R-1	SPCC1919.07
wts25-R-2	SPCC1919.08c
wts25-R-3	SPCC1919.09
wts25-R-4	SPCC1919.10c
wts25-R-5	SPCC1919.11
wts25-R-6	SPCC1919.12c
wts25-R-7	SPCC1919.13c
wts25-R-8	SPCC1919.14c
wts25-R-9	SPCC1919.15
wts25-R-10	SPCC790.02
